No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,lattitude,Longitude
1,20254860.0,TK AL-FITROH,JL. CIJERAH GIRANG RT. 002 RW. 005,Cijerah,SWASTA,26001,TK,Bandung Kulon,"JL. CIJERAH GIRANG RT. 002 RW. 005, Kel. Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9235317,107.5680217","Jl. Raya Cijerah, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9235317,107.5680217
2,20254872.0,TK AL-FURQON,JL. H. ALFI,Cibuntu,SWASTA,26001,TK,Bandung Kulon,"JL. H. ALFI, Kel. Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9616716,107.645887","Jl. H. Bardan Raya, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287, Indonesia",-6.9616716,107.645887
3,20254862.0,TK AL-IKHWAN,JL. CIGONDEWAH,Gempol Sari,SWASTA,26001,TK,Bandung Kulon,"JL. CIGONDEWAH, Kel. Gempol Sari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9470672,107.5644606","Jl. Cigondewah Rahayu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9470672,107.5644606
4,69917999.0,TK ARROYAN,Jl. Dirgantara V No. 10 Komp. Dirgantara Asri,Gempol Sari,SWASTA,26001,TK,Bandung Kulon,"Jl. Dirgantara V No. 10 Komp. Dirgantara Asri, Kel. Gempol Sari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9307554,107.5519436","Jl. Dirgantara V No.10, Gempolsari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40215, Indonesia",-6.9307554,107.5519436
5,20254880.0,TK ATTAZHIMIYAH,"Jl, Cigondewah",Cigondewah Kidul,SWASTA,26001,TK,Bandung Kulon,"Jl, Cigondewah, Kel. Cigondewah Kidul, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9443489,107.5654059","Jl. Cigondewah Rahayu, Cigondewah Kidul, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9443489,107.5654059
6,69967171.0,TK AZ-ZAHRA,Jl. Cigondewah Rahayu RT.001/003,Cigondewah Rahayu,SWASTA,26001,TK,Bandung Kulon,"Jl. Cigondewah Rahayu RT.001/003, Kel. Cigondewah Rahayu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9475247,107.5644281","Jl. Cigondewah Rahayu, Cigondewah Rahayu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9475247,107.5644281
7,20254877.0,TK BANDUNG RAYA,JL. CIJERAH,Cibuntu,SWASTA,26001,TK,Bandung Kulon,"JL. CIJERAH, Kel. Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9217854,107.5687644","Jl. Raya Cijerah, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9217854,107.5687644
8,20254861.0,TK BINTARI,JL. CIBUNTU,Warung Muncang,SWASTA,26001,TK,Bandung Kulon,"JL. CIBUNTU, Kel. Warung Muncang, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9230135,107.5786728","Jl. Cibuntu Timur, Wr. Muncang, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40211, Indonesia",-6.9230135,107.5786728
9,20254863.0,TK BPK PENABUR,JL. TAMAN HOLIS INDAH,Cigondewah Kidul,SWASTA,26001,TK,Bandung Kulon,"JL. TAMAN HOLIS INDAH, Kel. Cigondewah Kidul, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9421724,107.5635594","Jl. Taman Holis Indah, Cigondewah Kidul, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",-6.9421724,107.5635594
10,20254881.0,TK CAHAYA NUSANTARA,JL. TAMAN BURUNG B-2,Gempol Sari,SWASTA,26001,TK,Bandung Kulon,"JL. TAMAN BURUNG B-2, Kel. Gempol Sari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9286422,107.5545926","3HC3+F9H, Gempolsari, Bandung Kulon, Bandung City, West Java 40215, Indonesia",-6.9286422,107.5545926
