0,FID,ogc_fid,no_1,no_2,nama_sppg,nm_ka_sppg,kecamatan,alamat dap,sekolah,alamat,jumlah_sis,jam makan,keterangan,tanggal_op,Latitude SPPG,Longitude SPPG,field_15,geometry,No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,Latitude Sekolah,Longitude Sekolah,<img>
0,database_sppg.1,1,1,1.1.,SPPG Kec. Sukajadi 01,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",PAUD NURUL HIKMAH,Jalan Sukamulya,50,8,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),11,69968754,PAUD NURUL HIKMAH,Jalan Sukamulya Indah No.11/1B RT.03 RW.02,Sukagalih,SWASTA,26024,KB,Sukajadi,"Jalan Sukamulya Indah No.11/1B RT.03 RW.02, Kel. Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.887097799999999,107.5878997","4H7Q+553, Jl. Sukamulya Indah No.11 1b, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163, Indonesia",-6.8870978,107.5878997,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUAO7yLywSzXtXvOgC1DWeoLZiFAG0wL3Lsa88JGWaXZ5sjRcDEUAiq-RJugdPAfarAo-qO90Rq4cUQ0W204u0sNEMapexxP6Gel4DiQmjtsIq4H0iquyZZfMKBJzM9jkGSDy7h1RpzE0y-bIA-zKyNTQP0dhBQd-yiS1NzldtPxg2IJDPkG4zFq7v7Su3KOZNszUzOHyLkssFSmDRsz45qWaJNdM98qZlAWNCIGr7HF4szxUkhTWukYFzmkOKchXp_8-kJFlhfHCZDnO4Gi9gsvKo0QLE9vgQLAr5JpkLu01pLg0QOqVWkW49mJ97V2E8iy2UsXPpbLuyJF7_U5Xsco-mmaHhrDqnHNg7hYGnOHd2rQWiKDZQRDAcD-qDNVjsvpcDjyt9FK2BMLFq8hMDqvFjLM6qtkMt-ml35JeTmEmjuAX-hxsSFgf2WpOYSiBBYKMa6O8QYg8ay4WlcH0-ME30IqhbCp478cTqGUJ0lVBoLnj1JrwF7O0eqCT5zriuEM2Y3CVw_EVPzCPpG353bbQng7IorjvXdYkR2bAH5A1_O6ql725HBMpGhEe5Sh9DLRg&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
1,database_sppg.2,2,2,1.2.,SPPG Kec. Sukajadi 02,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SDN 272 SUKASARI,Jalan Sukakarya,335,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),20,20245274,SDN 272 SUKASARI,Jl. Sukakarya No. 19,Sukagalih,NEGERI,26024,SD,Sukajadi,"Jl. Sukakarya No. 19, Kel. Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.888099599999999,107.5823752","Jl. Sukakarya No.19, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163, Indonesia",-6.8880996,107.5823752,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUncxgiJ-EUER2_eQlxXvosQaHqHkbXzqHpPaS_na9EXy1i1zsquo3JypHJFPeXuJwFAgl0OdtPwxIDwDVKMN4Nnha5phiEwZk44AmOYoFZzQ26MSbdI1tMwtZoF7xWWQCTTHaVMlp7gItUh8d5i07Z0jL52VXxHrM3gnpBC9PqAQnoQroh_EE7m3HqKkOTEJ5urYgQXVDAQlMEB_UpfIo-M2vLjvznag93EUy7WfL65Ptip7vm_t2UI3zA5LHVrrOJgg-CgbwA-ETB-q19xGb3NDSy-UeI9zYJ6zWK8NzHzEzYW09Ae4hncNdtH3kc65xQ8oQQEEhNlqNmWyiYiuV5cCIaqms6Qu2CZdj4m6hAGNahhZeHcGNJ509sfyvhj_ocmZPJ2xWq0qMPd-qxVrrLRpjK6cWMK4nD_L7TiM5yTnaAlBgcjK_S2nZIdFjubqtnjo8A5fd1vsiWKmPzLI9owstkeSvrldQwh5IDSx_yvjBis84OvIiy2DyiiTzW-sYC15ycei8RDcihxCavVEQjsi4qPs7HrFmdBYLok6Y6Ked3BMsbdDQa4hjT31WVjK3pcAaE&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
2,database_sppg.3,3,3,1.3.,SPPG Kec. Sukajadi 03,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SDN 193 CARINGIN,Jalan Sukamulya,493,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),16,20245126,SDN 193 CARINGIN,Jl. Sukamulya No.46,Sukagalih,NEGERI,26024,SD,Sukajadi,"Jl. Sukamulya No.46, Kel. Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.8894633,107.5859289","Jl. Sukamulya No.46, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163, Indonesia",-6.8894633,107.5859289,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUfqx52Aj3qQy4s8_NF3_dKH1yWmBDccCTH13JxAVZSklrhyI5I7PVopzIfprHdMqtGKoHUhnjSRhPXYtVmoyqkiPyp2IzjywBdaXEoKL0ra3VcD-kU_9v7O1qVVN8EE0hKvNKLqYZ2FwTJ1ZMPmLv0OPPO1daYqeVlOAL3rIxIat1C1c06G0BmZf1zSxYBZXGOdqcIQ8ICD6upj2-lP2j7trA4jp_isHU79xlAP3XBfTyBI07UjrOm-0M03qg0fCGGsLwHLMitLjghmY3Vk2ZqXvI-hAatBiZucAOMot44YdI50rhoJBexpyPkTezy2_EAMrpVgjYTdzV9FV0te8KoI-Da4Fjpxhv6Z4hI1OijR92vZ5bPV8geT_uMgbqXnlgiKbclLvDOrqVcOC542byftalNyRWop3pBVuX0v0EXrAUd8r8I2X0kx8vwGMuMcbvJ1pulovGwj2umVKP5RcXu5ACD4JmlTq6OjGqV-e4NY0XgJNJixxkUrNKQExEG_Ms7BMzr4Vb7NcSEDx6cyGeHmwUppp0Lr2zBy_Y38-2zZ_uRXEkdKQ6NBTnL0-niShXORjlO&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
3,database_sppg.4,4,4,1.4.,SPPG Kec. Sukajadi 04,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SMPN 64 BANDUNG,Jalan Dr. Junjunan,332,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),,,SMPN 64 BANDUNG,,,,,,,,,,,-6.8913056,107.5802651,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfX4hc1_WMxtrnZs29VMZr4-FvW7mcB9cbpk9_hCL8bUqMDkLOt1rojEK7BxtyrsgNL5LqdRAp9ExNOayZR8wJJfAUsXTLbljn_9JT21sr09fP0MqK_qpRBKdDr3x0RzuHrg7oyuxopiX6Dbd07HxuO6M49vWDbqa6BHbjyhaK7QgkFvCKtOp8JdrQlfE-gciT1RDXO_bNodwvk3WBMTkdbXxa6xANouXOq8iEMrjxBQa5QQ4OZBlylOutFW9xzZ8ocCVC-j8PNBxhNwhiOb_grjaM79q4RPxTF00v8kHV4wDWS3-NE&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
4,database_sppg.5,5,5,1.5.,SPPG Kec. Sukajadi 05,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SDN 096 SARIJADI SELATAN,Jalan Sarimadu Bawah,353,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),14,20245260,SDN 096 SARIJADI SELATAN,"Jl. Sarimadu Bawah, Sarijadi Blok 26",Sukawarna,NEGERI,26024,SD,Sukajadi,"Jl. Sarimadu Bawah, Sarijadi Blok 26, Kel. Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.8752369,107.5798953","Jl. Sarijadi Raya No.26, Sarijadi, Kec. Sukasari, Kota Bandung, Jawa Barat 40151, Indonesia",-6.8752369,107.5798953,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUvtlEFrHEk0mrH4YbwIqXEr44eEJ-tVp_9GpIjwS6zsOVpuF8s2nTLflZc6dNDnjMfcACwsJP3r7bKFzbiBxgHLr5uPcsTABROJT8yhKelP2YFQ2pRHfS1iyqROyqnBMEEmsOY24J9jyNt41vFHW38bsHxiA0P6q6XzTGLb3TyekuMy8sxrvDLN_jXGGMCsmUNm1ouFqshM_5eZP0j0FvLVBRKOqOxqob1tCqBiSAVdhEkulOKWl7r4a-GofJAGpPDKJnDmxXoJsyl2y2SJdv7x0iG7oub4OzoFXYsUvgAjfsLk7PUNzmo0uxyWebzFd6UrWCbwwjzLV-31seYYL1tj0HkCpAslX0r7WafoPnK67GrcUu76bQnsB77qTK2PEy65RYRQuzB64mW1eOHdm5Djeb46VhkSd0gyfb3RkwPSvC3DYPa42QReI7MGh60qKL0IhsRJdrexnnCPEQsNCVyo14y9C0ruLqAMkdTHZ3KyADnkvFkZ5r1VQ_Q9w5ytfTFDXicB-I5U_EeXA9twPFLDH5yW0SsiZPTh1jAiaNxfXNfv_PR0b90fKqzNPavgAQc9vJh&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
5,database_sppg.6,6,6,1.6.,SPPG Kec. Sukajadi 06,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SDN 207 CIBOGO,Jalan Cibogo,259,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),18,20245137,SDN 207 CIBOGO,Jl. Cibogo No. 78,Sukawarna,NEGERI,26024,SD,Sukajadi,"Jl. Cibogo No. 78, Kel. Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.885436599999999,107.5791163","Jl. Cibogo No.78, Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat 40164, Indonesia",-6.8854366,107.5791163,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUKZ884tNi6lKni9q7oxDTFtV5RxbPlNLAVHy9Lsu-Sj1Rj29oGW4JhEklnkn46x7Ti7NgTnFPZr5IKlkwqs2wm-BT-3qXDDHE8m1TedgbOrh83Ix_BHIG9sV2S2tyZ6vsAERdtE4NiHW-ZrN4R_L2I5ihDWfw4cKFCpvQqCPV5PQBsgng2167p674M34NcYKnusXrH6XdWuWtDM11nIJ492Fy1gq2pkgRmlezWEvlGH2_lj1q4enxkwBWJuZK7wd5RyWnuMcgNm71d8nMeFGpCZOncWitN6Pc-EJbURiI4M6qqLzvmbwaYTeB8Jj0fDuGbT420QSJSZet1iAlnzIaux_z4UL5v71L5kILP5BJuXox9P0KBitTXonR_XybG0thsvmr8k-2a3KaNq8YauFmm_MnvbXVJoOUmgog5uKeMMFms5JuKQM0trE0tct_xFOcZ-F1tImyF-GdJeBs7lVhf1xaYemgkx1TIbEuBhUjcnAaoi6LwZEJXv3TuHnU4Yn0rf9q9-0sp50BAeieuvd_WJkLC6nj16n__nIb5v2AMCGY5w4YA2u0LdnVGsn-kXoyrRfH7&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
6,database_sppg.7,7,7,1.7.,SPPG Kec. Sukajadi 07,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SDN 136 SUKAWARNA,Jalan Sariwangi,700,9.3,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),15,20245278,SDN 136 SUKAWARNA,Jl. Sariwangi No. 1,Sukawarna,NEGERI,26024,SD,Sukajadi,"Jl. Sariwangi No. 1, Kel. Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat, Indonesia",id,"-6.8821137,107.5783385","Jl. Sariwangi No.1, Sarijadi, Kec. Sukasari, Kota Bandung, Jawa Barat 40151, Indonesia",-6.8821137,107.5783385,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXOPc37T07oSouZJhqDulkhOGsNmuxGM9sIanr4TGRd9sNMti-AZrygPAN7eBal5OuSWHL4kP-4jLVso-GEW9e63eLwGgGZzsXvYtvcW8rV5w_GHNITRSjwV1Vkq-03LzgfqoPsIkBeQkswc4So_dRWcCSviIWLBll9c0LObOvDmB8QPP1xewCCzslpw4jhzsrxLJ4naV1r4P0HMIQTQZ-stB_TNo2-6ZbbB-iT_Za6MPIwKcFJy4e0dQLPFSGLLIGTly-rQ-rKnQkUC_r7lW0Ni94HMoncy8htLif-kyaIa65BUq1FJUnez2PIC_TKqELf4UlH9AwV0ruPj5RHV-X--rJjk6bBuU6gXg6WmaQPfqcYV4wwlNUOO8-y1GNtNzPS8Ftwt_AkNLqW1joF7W9KdU7499i4L-PsTdkhyNqEZFG3lJNsze3ldwt_jvwi09oNrkX7cpw4o2ugXSbvv3l-nk9aHTKF34U8ZwGI7qxWg1Km58g2oShwJQiMJ2GX7zP8KUZ3H5gLF93yV-vQWohx6AAjE_WQLO3mRdLGXBp_IR12et8Dj2bPc1x8sEVNlM604Yan1_sAWw&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
7,database_sppg.8,8,8,1.8.,SPPG Kec. Sukajadi 08,M. Taufiq Ramadhan,Sukajadi,"Jl. Sukamulya Indah Kav. 11 No. 7 Kelurahan Sukagalih, Kec. Sukajadi, Kota Bandung",SMPN 26 BANDUNG,Jalan Sarimanah,841,11,,6 Januari 2025,-6.884429458,107.5856954,,POINT (107.5856954 -6.884429458),,,SMPN 26 BANDUNG,,,,,,,,,,,-6.8826784,107.5774846,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWCeUBASUT_-PP6zucv9mVxPggFSNPO91RNUvGISFTxeGYtba1cj7xBPQUBz27KbZC5gKejUZAdIP_RJdZnLqRnBO6YAY9o8hAL6rD0yCJzqJjzkrjSei00lV2w8DcutIH0U2YSqgmNlkD-IHA1JrCYDj5WFowu-N9M92BbQyLd7nSvuX72CUy-Yat6Cq8nms6aZ8vWimK-xMBNw_2HWQAW3lTmBSDJW8o2A2rZtfifdxu5FQgeX5f1kR4t7KtK3CYLDfXwLlx5a4xgXAb8y7n2HTiD-YBy2t4fxr4LOZ4_J_PvyIM&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
8,database_sppg.9,9,9,2.1.,SPPG Kec. Cicendo 01,Aji Rahmat Permadi,Cicendo,"Lanud Husein Sastranegara, gudang GPP 2, gudang 10, Kelurahan Husein Kecamatan Cicendo, Kota Bandung",PAUD ANGKASA,Jl. Pajajaran No.148 RT 04 RW 07 Kel. Pajajaran Kec. Cicendo Kota Bandung,28,9.15,,6 Januari 2025,-6.904448663,107.5774084,,POINT (107.5774084 -6.904448663),11,69921626,PAUD ANGKASA,Jl. Pajajaran No. 148 RT.04 RW.07,Pajajaran,SWASTA,26019,KB,Cicendo,"Jl. Pajajaran No. 148 RT.04 RW.07, Kel. Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9059301,107.5864553","Jl. Pajajaran No.148, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40174, Indonesia",-6.9059301,107.5864553,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXJgK8Ekqfm-r5YzYm9-EmSkOstwvDPMzSbn8o3V4u10LutoGlvIFCvF1EiFDW5YLcuHK9gzC0YQgEKUowAIjcG1JWA0ggc0oXGgHHa8zJgi-OPDTkRcvZES5a-3feiYYsuXlMy7MnqB-lr7VvfWMF0p2ow7bhe4qkul_dUAj2sNC_OlNilETxr1MFnZuTRoh8QyE9AexPA5VFMH5Q8Pfd5LmLTZ7s5YlVf9iFUo2iWmvkraaMkaXWKTH7CKvGgr8U0OiSV3O4GRpfIHx75MzfQ7wnHtjZBr559D3JsjmGFZNYHrQyhYD5VgQgnu4lWs0uKRoXaMhWmGWH_pvo644Gx6saBPOcZIh-nSTsmuNBEy3S1OyFTlcHyR1T-AUONEoYAkkjL2dj3FpSHVCuc2_uZCBRfuK39J-3g3Rgwr799KLSBxXv-07o3Kc_uhDgQA8NEs_YtWKtIUTBFp3PQ0VRqJglvPdUG7G0CZ2R2i8fJ6BxK9wn1uQKvvc0T6EZKzKhjbv9G_pGvPVSqPD3XXj5blytAvqyawr9pEHciWLfE_gYrgRN2cMl_3mQpnc17q_AIT9P6&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
9,database_sppg.10,10,10,2.2.,SPPG Kec. Cicendo 02,Aji Rahmat Permadi,Cicendo,"Lanud Husein Sastranegara, gudang GPP 2, gudang 10, Kelurahan Husein Kecamatan Cicendo, Kota Bandung",TK ANGKASA 1,Jl. Pajajaran No.148 RT 04 RW 07 Kel. Pajajaran Kec. Cicendo Kota Bandung,68,9.15,,6 Januari 2025,-6.904448663,107.5774084,,POINT (107.5774084 -6.904448663),2,20255037,TK ANGKASA 1,JL. PAJAJARAN,Pajajaran,SWASTA,26019,TK,Cicendo,"JL. PAJAJARAN, Kel. Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat, Indonesia",id,"-6.906827799999999,107.5888558","Jl. Pajajaran No.122, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40172, Indonesia",-6.9068278,107.5888558,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVveYWKvqH_uPyU17xtmfl_3K2tL-p6Q1pDBjp8yhhC6V4Ok0yKKWtatpWmVUATymy025o_DgQ3JVPEk4ahxvpnSJ36thXMLWl0ICGasT11xvt3zYJMpHWdz3EeTnDmC0b7OUEHLwIdAY0Ec_RSKNtHm4xsL5v8wOPl5W3agEoNLrP1d-h1MCz5QptEfcXO21qP9QXmlteWazHliyWST8Y1u9AKcCzLZNxPBl3gOoQ18OemzQxSS0bgnqsJcUj6073fy1BoEL_I9lo3F94t3aeFyCMMNcve7uU7nFwuieJ5xV9UvWNE7vNLu2HQFWe5uWY9sQQGuFuJLLMzSzt3ZvGD6iKQIweHbAVrxAnb7anbwj2s9tyJOIGug211XjeyxF7T724lqwMfhWxzZukSC7BZo-rNEhHnK27sO-6VdpnIeCp87DIkCLv_nL45DCK-3EWG3h4hCLtOZRuvvyNpk_fmr9FO06HLDHq074RVnxWW_SOS2HcLq-3Uirj4iJvg9CVq5RU10mbyvKzFSIsGsFJwxPbYEsqvvFZvsfS4Fk-DvJWOH2kvUtuFivwdRpI2gLf_28nq&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
