_geojson,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,<img>,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.657934,-6.880233],[107.657702,-6.885549],[107.65695,-6.890816],[107.655686,-6.895984],[107.65392,-6.901004],[107.65167,-6.905826],[107.648959,-6.910405],[107.645811,-6.914697],[107.642257,-6.918659],[107.638332,-6.922254],[107.634073,-6.925447],[107.629521,-6.928208],[107.62472,-6.930509],[107.619717,-6.93233],[107.614559,-6.933651],[107.609296,-6.934461],[107.603979,-6.934751],[107.59866,-6.934519],[107.593388,-6.933767],[107.588216,-6.932502],[107.583193,-6.930737],[107.578367,-6.928488],[107.573785,-6.925777],[107.569491,-6.922631],[107.565526,-6.919079],[107.561929,-6.915156],[107.558734,-6.910899],[107.555972,-6.906349],[107.55367,-6.901551],[107.551849,-6.896551],[107.550528,-6.891396],[107.549718,-6.886137],[107.549429,-6.880824],[107.549662,-6.875508],[107.550415,-6.87024],[107.551681,-6.865071],[107.553448,-6.860052],[107.555699,-6.855229],[107.558411,-6.850651],[107.56156,-6.84636],[107.565114,-6.842398],[107.56904,-6.838804],[107.573299,-6.835611],[107.577851,-6.832851],[107.582651,-6.830551],[107.587654,-6.828731],[107.592811,-6.82741],[107.598073,-6.826601],[107.603388,-6.826312],[107.608707,-6.826544],[107.613977,-6.827296],[107.619148,-6.828561],[107.62417,-6.830326],[107.628995,-6.832575],[107.633576,-6.835285],[107.637869,-6.838431],[107.641833,-6.841983],[107.64543,-6.845906],[107.648624,-6.850162],[107.651387,-6.85471],[107.653689,-6.859508],[107.655511,-6.864507],[107.656833,-6.869661],[107.657643,-6.87492],[107.657934,-6.880233]]]},""properties"":{""No"":1,""Kecamatan SPPG"":""CIDADAP"",""Kelurahan/Desa SPPG"":""HEGARMANAH"",""Alamat SPPG"":""Jl. Ciumbuleuit No.83, Hegarmanah, Kecamatan Cidadap, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Cidadap Hegarmanah 3"",""Lattitude"":-6.8805313,""longitude"":107.6036826,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",1,CIDADAP,HEGARMANAH,"Jl. Ciumbuleuit No.83, Hegarmanah, Kecamatan Cidadap, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cidadap Hegarmanah 3,-6.8805313,107.6036826,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.667026,-6.920099],[107.666795,-6.925415],[107.666043,-6.930682],[107.664778,-6.93585],[107.663013,-6.94087],[107.660763,-6.945693],[107.658051,-6.950272],[107.654903,-6.954563],[107.65135,-6.958525],[107.647424,-6.962121],[107.643165,-6.965314],[107.638613,-6.968075],[107.633812,-6.970377],[107.628808,-6.972197],[107.62365,-6.973519],[107.618387,-6.974329],[107.61307,-6.974619],[107.60775,-6.974388],[107.602478,-6.973636],[107.597305,-6.972372],[107.592282,-6.970607],[107.587455,-6.968358],[107.582873,-6.965648],[107.578578,-6.962501],[107.574613,-6.958949],[107.571015,-6.955026],[107.56782,-6.95077],[107.565058,-6.94622],[107.562755,-6.941423],[107.560934,-6.936422],[107.559612,-6.931268],[107.558802,-6.926008],[107.558512,-6.920695],[107.558745,-6.915379],[107.559498,-6.910112],[107.560764,-6.904943],[107.562531,-6.899923],[107.564782,-6.895101],[107.567494,-6.890522],[107.570643,-6.886231],[107.574197,-6.88227],[107.578123,-6.878675],[107.582382,-6.875482],[107.586934,-6.872722],[107.591735,-6.870421],[107.596738,-6.868601],[107.601895,-6.86728],[107.607157,-6.866471],[107.612473,-6.866181],[107.617792,-6.866413],[107.623063,-6.867165],[107.628234,-6.868429],[107.633257,-6.870194],[107.638082,-6.872443],[107.642663,-6.875153],[107.646957,-6.878299],[107.650922,-6.88185],[107.654519,-6.885773],[107.657714,-6.890029],[107.660477,-6.894577],[107.66278,-6.899374],[107.664602,-6.904374],[107.665924,-6.909528],[107.666735,-6.914786],[107.667026,-6.920099]]]},""properties"":{""No"":2,""Kecamatan SPPG"":""SUMUR BANDUNG"",""Kelurahan/Desa SPPG"":""KEBON PISANG"",""Alamat SPPG"":""Jl. Naripan No.28B, Kelurahan Kebon Pisang, Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Sumur Bandung Kebon Pisang"",""Lattitude"":-6.9204002,""longitude"":107.6127704,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",2,SUMUR BANDUNG,KEBON PISANG,"Jl. Naripan No.28B, Kelurahan Kebon Pisang, Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sumur Bandung Kebon Pisang,-6.9204002,107.6127704,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.734942,-6.899587],[107.734712,-6.904902],[107.733961,-6.910169],[107.732697,-6.915338],[107.730932,-6.920357],[107.728683,-6.92518],[107.725973,-6.929759],[107.722826,-6.93405],[107.719273,-6.938013],[107.715348,-6.941608],[107.71109,-6.944802],[107.706539,-6.947564],[107.701738,-6.949866],[107.696735,-6.951687],[107.691578,-6.953009],[107.686315,-6.95382],[107.680999,-6.954111],[107.675679,-6.95388],[107.670408,-6.953129],[107.665235,-6.951865],[107.660212,-6.950101],[107.655386,-6.947853],[107.650803,-6.945143],[107.646509,-6.941998],[107.642543,-6.938447],[107.638946,-6.934524],[107.63575,-6.930268],[107.632987,-6.92572],[107.630684,-6.920922],[107.628863,-6.915923],[107.627541,-6.910768],[107.62673,-6.905509],[107.62644,-6.900197],[107.626672,-6.894881],[107.627424,-6.889613],[107.628689,-6.884445],[107.630455,-6.879425],[107.632705,-6.874603],[107.635417,-6.870024],[107.638565,-6.865733],[107.642118,-6.861771],[107.646043,-6.858176],[107.650301,-6.854983],[107.654852,-6.852222],[107.659652,-6.849921],[107.664655,-6.848101],[107.669811,-6.846779],[107.675073,-6.845969],[107.680388,-6.845678],[107.685707,-6.84591],[107.690977,-6.846661],[107.696148,-6.847925],[107.70117,-6.849689],[107.705995,-6.851937],[107.710577,-6.854646],[107.71487,-6.857791],[107.718835,-6.861342],[107.722432,-6.865264],[107.725628,-6.869519],[107.728391,-6.874067],[107.730694,-6.878864],[107.732516,-6.883863],[107.733839,-6.889016],[107.734651,-6.894274],[107.734942,-6.899587]]]},""properties"":{""No"":3,""Kecamatan SPPG"":""MANDALAJATI"",""Kelurahan/Desa SPPG"":""PASIR IMPUN"",""Alamat SPPG"":""Jl. Arcamanik No. 41A, Pasir Impun, Kec. Mandalajati, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Mandalajati Pasir Impun 3"",""Lattitude"":-6.8998947,""longitude"":107.6806923,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",3,MANDALAJATI,PASIR IMPUN,"Jl. Arcamanik No. 41A, Pasir Impun, Kec. Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Pasir Impun 3,-6.8998947,107.6806923,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.711536,-6.919745],[107.711305,-6.925061],[107.710553,-6.930328],[107.709289,-6.935497],[107.707524,-6.940516],[107.705275,-6.945339],[107.702564,-6.949918],[107.699417,-6.954209],[107.695864,-6.958172],[107.691939,-6.961767],[107.68768,-6.964961],[107.683128,-6.967722],[107.678328,-6.970025],[107.673324,-6.971845],[107.668166,-6.973167],[107.662904,-6.973978],[107.657587,-6.974269],[107.652267,-6.974038],[107.646995,-6.973287],[107.641822,-6.972023],[107.636799,-6.970258],[107.631972,-6.96801],[107.62739,-6.9653],[107.623095,-6.962154],[107.61913,-6.958603],[107.615532,-6.95468],[107.612336,-6.950424],[107.609573,-6.945875],[107.60727,-6.941078],[107.605449,-6.936078],[107.604127,-6.930924],[107.603316,-6.925665],[107.603026,-6.920352],[107.603258,-6.915036],[107.604011,-6.909768],[107.605276,-6.9046],[107.607042,-6.89958],[107.609292,-6.894758],[107.612005,-6.890179],[107.615153,-6.885888],[107.618707,-6.881926],[107.622632,-6.878331],[107.626891,-6.875138],[107.631442,-6.872378],[107.636242,-6.870076],[107.641245,-6.868256],[107.646402,-6.866935],[107.651664,-6.866125],[107.65698,-6.865834],[107.662299,-6.866066],[107.667569,-6.866817],[107.67274,-6.868081],[107.677763,-6.869846],[107.682588,-6.872094],[107.68717,-6.874803],[107.691464,-6.877949],[107.695428,-6.8815],[107.699026,-6.885422],[107.702221,-6.889677],[107.704984,-6.894225],[107.707288,-6.899022],[107.70911,-6.904021],[107.710433,-6.909175],[107.711244,-6.914433],[107.711536,-6.919745]]]},""properties"":{""No"":4,""Kecamatan SPPG"":""ANTAPANI"",""Kelurahan/Desa SPPG"":""ANTAPANI KIDUL"",""Alamat SPPG"":""Jl. Sukanagara No.4, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291"",""Nama SPPG"":""SPPG Kota Bandung Antapani Antapani Kidul 1"",""Lattitude"":-6.9200517,""longitude"":107.657282,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",4,ANTAPANI,ANTAPANI KIDUL,"Jl. Sukanagara No.4, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291",SPPG Kota Bandung Antapani Antapani Kidul 1,-6.9200517,107.657282,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.729784,-6.906865],[107.729553,-6.91218],[107.728802,-6.917448],[107.727538,-6.922616],[107.725773,-6.927635],[107.723525,-6.932458],[107.720814,-6.937037],[107.717666,-6.941329],[107.714113,-6.945291],[107.710189,-6.948887],[107.70593,-6.952081],[107.701379,-6.954842],[107.696579,-6.957144],[107.691576,-6.958965],[107.686418,-6.960287],[107.681155,-6.961098],[107.675839,-6.961389],[107.670519,-6.961158],[107.665247,-6.960407],[107.660075,-6.959143],[107.655051,-6.957379],[107.650225,-6.955131],[107.645643,-6.952421],[107.641348,-6.949276],[107.637383,-6.945725],[107.633785,-6.941802],[107.630589,-6.937546],[107.627827,-6.932997],[107.625523,-6.9282],[107.623702,-6.9232],[107.62238,-6.918046],[107.621569,-6.912787],[107.621279,-6.907474],[107.621511,-6.902159],[107.622263,-6.896891],[107.623528,-6.891723],[107.625294,-6.886703],[107.627544,-6.881881],[107.630256,-6.877302],[107.633404,-6.873011],[107.636958,-6.869049],[107.640883,-6.865454],[107.645141,-6.862261],[107.649692,-6.8595],[107.654492,-6.857198],[107.659495,-6.855378],[107.664652,-6.854057],[107.669913,-6.853247],[107.675229,-6.852956],[107.680547,-6.853188],[107.685818,-6.853939],[107.690989,-6.855203],[107.696011,-6.856967],[107.700836,-6.859215],[107.705418,-6.861924],[107.709711,-6.865069],[107.713676,-6.86862],[107.717274,-6.872542],[107.720469,-6.876797],[107.723232,-6.881345],[107.725536,-6.886142],[107.727358,-6.891141],[107.728681,-6.896294],[107.729492,-6.901553],[107.729784,-6.906865]]]},""properties"":{""No"":5,""Kecamatan SPPG"":""ARCAMANIK"",""Kelurahan/Desa SPPG"":""SUKAMISKIN"",""Alamat SPPG"":""Jl. Sahardjo, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Polda Jabar 1"",""Lattitude"":-6.9071727,""longitude"":107.6755325,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",5,ARCAMANIK,SUKAMISKIN,"Jl. Sahardjo, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Polda Jabar 1,-6.9071727,107.6755325,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.658908,-6.945236],[107.658676,-6.950552],[107.657925,-6.955819],[107.65666,-6.960987],[107.654894,-6.966007],[107.652645,-6.97083],[107.649933,-6.975409],[107.646785,-6.9797],[107.643231,-6.983662],[107.639305,-6.987258],[107.635046,-6.990451],[107.630494,-6.993212],[107.625692,-6.995514],[107.620688,-6.997334],[107.61553,-6.998656],[107.610266,-6.999466],[107.604949,-6.999757],[107.599628,-6.999525],[107.594356,-6.998773],[107.589183,-6.997509],[107.584159,-6.995744],[107.579332,-6.993495],[107.57475,-6.990785],[107.570455,-6.987638],[107.566489,-6.984087],[107.562892,-6.980163],[107.559696,-6.975907],[107.556934,-6.971358],[107.554631,-6.96656],[107.552809,-6.96156],[107.551488,-6.956405],[107.550678,-6.951146],[107.550388,-6.945832],[107.550621,-6.940516],[107.551374,-6.935249],[107.55264,-6.93008],[107.554407,-6.92506],[107.556657,-6.920238],[107.55937,-6.915659],[107.562519,-6.911368],[107.566074,-6.907406],[107.569999,-6.903812],[107.574259,-6.900619],[107.578811,-6.897859],[107.583612,-6.895558],[107.588615,-6.893738],[107.593773,-6.892417],[107.599035,-6.891608],[107.604352,-6.891318],[107.609671,-6.89155],[107.614942,-6.892302],[107.620114,-6.893566],[107.625136,-6.895331],[107.629962,-6.89758],[107.634544,-6.90029],[107.638838,-6.903436],[107.642803,-6.906987],[107.6464,-6.910909],[107.649595,-6.915165],[107.652358,-6.919714],[107.654662,-6.924511],[107.656483,-6.929511],[107.657806,-6.934664],[107.658617,-6.939923],[107.658908,-6.945236]]]},""properties"":{""No"":6,""Kecamatan SPPG"":""ASTANA ANYAR"",""Kelurahan/Desa SPPG"":""KARASAK"",""Alamat SPPG"":""Jl. Karasak Utara Iv No. 18, Karasak, Kecamatan Astana Anyar, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Astana Anyar Karasak 2"",""Lattitude"":-6.9455372,""longitude"":107.6046491,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",6,ASTANA ANYAR,KARASAK,"Jl. Karasak Utara Iv No. 18, Karasak, Kecamatan Astana Anyar, Kota Bandung, Jawa Barat",SPPG Kota Bandung Astana Anyar Karasak 2,-6.9455372,107.6046491,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.64237,-6.873949],[107.642139,-6.879265],[107.641387,-6.884532],[107.640121,-6.889701],[107.638356,-6.89472],[107.636106,-6.899543],[107.633394,-6.904122],[107.630246,-6.908413],[107.626692,-6.912375],[107.622767,-6.91597],[107.618508,-6.919163],[107.613956,-6.921924],[107.609155,-6.924225],[107.604151,-6.926045],[107.598993,-6.927366],[107.593731,-6.928176],[107.588414,-6.928466],[107.583094,-6.928234],[107.577823,-6.927482],[107.572651,-6.926217],[107.567627,-6.924451],[107.562802,-6.922202],[107.55822,-6.919491],[107.553926,-6.916344],[107.549961,-6.912792],[107.546364,-6.908869],[107.54317,-6.904612],[107.540408,-6.900062],[107.538106,-6.895264],[107.536285,-6.890263],[107.534964,-6.885109],[107.534155,-6.879849],[107.533865,-6.874536],[107.534098,-6.86922],[107.534852,-6.863952],[107.536118,-6.858783],[107.537885,-6.853764],[107.540136,-6.848942],[107.542849,-6.844363],[107.545998,-6.840072],[107.549552,-6.836111],[107.553478,-6.832516],[107.557737,-6.829324],[107.562289,-6.826564],[107.567089,-6.824263],[107.572092,-6.822444],[107.577249,-6.821124],[107.582511,-6.820315],[107.587827,-6.820025],[107.593145,-6.820258],[107.598415,-6.82101],[107.603586,-6.822275],[107.608608,-6.82404],[107.613433,-6.826289],[107.618014,-6.829],[107.622307,-6.832146],[107.626271,-6.835698],[107.629867,-6.839621],[107.633062,-6.843877],[107.635824,-6.848426],[107.638127,-6.853223],[107.639948,-6.858223],[107.64127,-6.863377],[107.64208,-6.868636],[107.64237,-6.873949]]]},""properties"":{""No"":7,""Kecamatan SPPG"":""SUKASARI"",""Kelurahan/Desa SPPG"":""SUKARASA"",""Alamat SPPG"":""Jl. , Sentrasari V No7, RT 005, RW.02, Kecamatan Sukasari, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Sukasari Sukarasa 2"",""Lattitude"":-6.8742455,""longitude"":107.5881191,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":"" ""}}",7,SUKASARI,SUKARASA,"Jl. , Sentrasari V No7, RT 005, RW.02, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Sukarasa 2,-6.8742455,107.5881191,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,, 
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.637389,-6.920985],[107.637157,-6.926301],[107.636405,-6.931568],[107.63514,-6.936736],[107.633374,-6.941756],[107.631124,-6.946579],[107.628412,-6.951158],[107.625264,-6.955449],[107.62171,-6.959411],[107.617784,-6.963006],[107.613524,-6.9662],[107.608972,-6.96896],[107.604171,-6.971262],[107.599167,-6.973082],[107.594009,-6.974403],[107.588745,-6.975213],[107.583428,-6.975503],[107.578108,-6.975271],[107.572836,-6.974519],[107.567663,-6.973254],[107.562639,-6.971489],[107.557813,-6.96924],[107.55323,-6.966529],[107.548936,-6.963383],[107.544971,-6.95983],[107.541373,-6.955907],[107.538178,-6.95165],[107.535416,-6.947101],[107.533114,-6.942302],[107.531293,-6.937302],[107.529971,-6.932147],[107.529162,-6.926888],[107.528872,-6.921574],[107.529105,-6.916258],[107.529859,-6.910991],[107.531125,-6.905822],[107.532892,-6.900802],[107.535143,-6.89598],[107.537856,-6.891401],[107.541005,-6.88711],[107.54456,-6.883149],[107.548486,-6.879554],[107.552746,-6.876362],[107.557298,-6.873602],[107.562099,-6.871301],[107.567102,-6.869482],[107.572259,-6.868161],[107.577522,-6.867352],[107.582838,-6.867062],[107.588157,-6.867295],[107.593428,-6.868047],[107.598599,-6.869312],[107.603622,-6.871077],[107.608447,-6.873326],[107.613028,-6.876036],[107.617322,-6.879183],[107.621286,-6.882734],[107.624883,-6.886657],[107.628078,-6.890913],[107.630841,-6.895462],[107.633144,-6.900259],[107.634965,-6.905259],[107.636287,-6.910413],[107.637098,-6.915672],[107.637389,-6.920985]]]},""properties"":{""No"":8,""Kecamatan SPPG"":""BABAKAN CIPARAY"",""Kelurahan/Desa SPPG"":""SUKAHAJI"",""Alamat SPPG"":""Jl. Situ No.34, RT 009, RW 010, Sukahaji, Babakan Ciparay, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Babakan Ciparay Sukahaji 1"",""Lattitude"":-6.9212827,""longitude"":107.5831317,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",8,BABAKAN CIPARAY,SUKAHAJI,"Jl. Situ No.34, RT 009, RW 010, Sukahaji, Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Sukahaji 1,-6.9212827,107.5831317,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.721477,-6.944961],[107.721246,-6.950277],[107.720496,-6.955544],[107.719232,-6.960712],[107.717467,-6.965732],[107.715218,-6.970555],[107.712507,-6.975134],[107.709359,-6.979425],[107.705806,-6.983388],[107.701881,-6.986984],[107.697622,-6.990178],[107.693071,-6.992939],[107.68827,-6.995241],[107.683266,-6.997062],[107.678108,-6.998385],[107.672845,-6.999195],[107.667528,-6.999487],[107.662208,-6.999256],[107.656936,-6.998505],[107.651763,-6.997241],[107.646739,-6.995477],[107.641912,-6.993229],[107.637329,-6.990519],[107.633034,-6.987374],[107.629069,-6.983822],[107.62547,-6.9799],[107.622274,-6.975644],[107.619511,-6.971095],[107.617208,-6.966298],[107.615386,-6.961298],[107.614064,-6.956144],[107.613253,-6.950885],[107.612963,-6.945572],[107.613195,-6.940256],[107.613947,-6.934989],[107.615212,-6.92982],[107.616978,-6.924801],[107.619228,-6.919978],[107.621941,-6.915399],[107.625089,-6.911108],[107.628643,-6.907146],[107.632568,-6.903551],[107.636827,-6.900358],[107.641378,-6.897597],[107.646179,-6.895296],[107.651181,-6.893475],[107.656339,-6.892154],[107.661601,-6.891344],[107.666917,-6.891053],[107.672236,-6.891284],[107.677506,-6.892036],[107.682678,-6.893299],[107.687701,-6.895064],[107.692526,-6.897311],[107.697108,-6.900021],[107.701403,-6.903166],[107.705368,-6.906717],[107.708965,-6.910638],[107.712161,-6.914894],[107.714924,-6.919442],[107.717228,-6.924238],[107.719051,-6.929237],[107.720374,-6.934391],[107.721185,-6.939649],[107.721477,-6.944961]]]},""properties"":{""No"":9,""Kecamatan SPPG"":""RANCASARI"",""Kelurahan/Desa SPPG"":""MANJAHLEGA"",""Alamat SPPG"":""jl Merkuri Tengah no 6  Desa manjahlega kecamatan Rancasari kota Bandung"",""Nama SPPG"":""SPPG Kota Bandung Rancasari Manjahlega"",""Lattitude"":-6.9452699,""longitude"":107.6672212,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",9,RANCASARI,MANJAHLEGA,jl Merkuri Tengah no 6  Desa manjahlega kecamatan Rancasari kota Bandung,SPPG Kota Bandung Rancasari Manjahlega,-6.9452699,107.6672212,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.736464,-6.959902],[107.736234,-6.965217],[107.735483,-6.970485],[107.734219,-6.975653],[107.732454,-6.980673],[107.730206,-6.985495],[107.727495,-6.990075],[107.724347,-6.994366],[107.720794,-6.998329],[107.716869,-7.001925],[107.712611,-7.005119],[107.708059,-7.00788],[107.703258,-7.010183],[107.698255,-7.012004],[107.693097,-7.013327],[107.687834,-7.014137],[107.682516,-7.014429],[107.677196,-7.014198],[107.671924,-7.013448],[107.666751,-7.012184],[107.661727,-7.01042],[107.6569,-7.008173],[107.652316,-7.005463],[107.648021,-7.002318],[107.644055,-6.998767],[107.640457,-6.994845],[107.637261,-6.990589],[107.634497,-6.98604],[107.632194,-6.981243],[107.630372,-6.976243],[107.629049,-6.971089],[107.628238,-6.965831],[107.627948,-6.960518],[107.628179,-6.955202],[107.628931,-6.949934],[107.630196,-6.944766],[107.631962,-6.939746],[107.634212,-6.934924],[107.636924,-6.930345],[107.640072,-6.926054],[107.643626,-6.922091],[107.647551,-6.918496],[107.65181,-6.915303],[107.656361,-6.912542],[107.661162,-6.91024],[107.666165,-6.90842],[107.671322,-6.907098],[107.676584,-6.906288],[107.6819,-6.905997],[107.687219,-6.906228],[107.69249,-6.906979],[107.697662,-6.908243],[107.702685,-6.910006],[107.707511,-6.912254],[107.712093,-6.914963],[107.716387,-6.918108],[107.720352,-6.921658],[107.72395,-6.92558],[107.727147,-6.929835],[107.72991,-6.934383],[107.732214,-6.939179],[107.734037,-6.944178],[107.73536,-6.949332],[107.736172,-6.95459],[107.736464,-6.959902]]]},""properties"":{""No"":10,""Kecamatan SPPG"":""RANCASARI"",""Kelurahan/Desa SPPG"":""DERWATI"",""Alamat SPPG"":""Derwati, Kecamatan Rancasari, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Rancasari Derwati"",""Lattitude"":-6.960213,""longitude"":107.682207,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",10,RANCASARI,DERWATI,"Derwati, Kecamatan Rancasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Rancasari Derwati,-6.960213,107.682207,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
